"CONAME","lat","long","NAICS6","NAICSD","sales_M","employees","PUBPRV","HDBRCH","is_hq","STATE","STCITY","year"
"Human Factors Practical Inc",45.09259,-66.42259,541330,"Engineering Services",9.941,51,NA,NA,TRUE,"NB","Dipper Harbour",2025
"Carbon Professional Svc Inc",43.214805,-79.986239,541330,"Engineering Services",0.585,3,NA,NA,TRUE,"ON","Ancaster",2025
"Engineering H",44.1632593,-79.8757064,541330,"Engineering Services",6.627,34,NA,NA,TRUE,"ON","Alliston",2025
"Progressive Engineering",47.5277900695801,-52.8761291503906,541330,"Engineering Services",1.95,10,NA,NA,TRUE,"NL","Paradise",2025
"Info Tech Matters",43.517865,-79.877948,541511,"Custom Computer Programming Services",0.748,5,NA,NA,TRUE,"ON","Milton",2025
"Trevors Surveying Ltd",45.6460571289063,-62.8005790710449,541370,"Surveying and Mapping (except Geophysical) Service",0.197,2,NA,NA,TRUE,"NS","Pictou",2025
"On Point Surveyors Inc",45.5583249,-62.6623249,541370,"Surveying and Mapping (except Geophysical) Service",0.296,3,NA,NA,TRUE,"NS","Stellarton",2025
"Shinobi Village Inc",43.7929825,-79.22476,541511,"Custom Computer Programming Services",0.449,3,NA,NA,TRUE,"ON","Scarborough",2025
"Protect-Ip Global Solutions",43.807706,-79.20207,541511,"Custom Computer Programming Services",5.685,38,NA,NA,TRUE,"ON","Scarborough",2025
"RJ Roy Energy Management Svc",44.385836,-64.504878,541330,"Engineering Services",8.576,44,NA,NA,TRUE,"NS","Bridgewater",2025
"Livingston Engineering Assoc",62.43857,-114.416775,541330,"Engineering Services",5.458,28,NA,NA,TRUE,"NT","Yellowknife",2025
"Karole",45.2682617,-75.2778496,541511,"Custom Computer Programming Services",0.3,2,NA,NA,TRUE,"ON","Embrun",2025
"Tung T Hydraulic Energy",45.435551,-75.565471,541330,"Engineering Services",0.39,2,NA,NA,TRUE,"ON","Gloucester",2025
"BCT Int",45.351334,-75.917661,541330,"Engineering Services",7.212,37,NA,NA,TRUE,"ON","Kanata",2025
"Arrox Vision Inc",43.654564,-79.387891,541511,"Custom Computer Programming Services",0.449,3,NA,NA,TRUE,"ON","Toronto",2025
"Sep & Sam Engineering",43.7297496,-79.4033942,541330,"Engineering Services",0.195,1,NA,NA,TRUE,"ON","Toronto",2025
"Succinct Social Media",43.6696405,-79.3960805,541511,"Custom Computer Programming Services",0.449,3,NA,NA,TRUE,"ON","Toronto",2025
"Best Flat Roof-Canada",43.670302,-79.391477,541330,"Engineering Services",0.358,3,NA,NA,TRUE,"ON","Toronto",2025
"Angar Engineers",43.705871,-79.515777,541330,"Engineering Services",6.627,34,NA,NA,TRUE,"ON","York",2025
"AM Structural Designs Ltd",43.688992,-79.566932,541330,"Engineering Services",0.585,3,NA,NA,TRUE,"ON","Etobicoke",2025
"MWJ Design Inc",44.631227,-81.266459,541330,"Engineering Services",8.576,44,NA,NA,TRUE,"ON","Sauble Beach",2025
"Kit Steel",43.0030421,-79.2357937,541330,"Engineering Services",2.924,15,NA,NA,TRUE,"ON","Welland",2025
