region_uid,region_name,year,tier,object_cluster,total_value,n_contracts,n_vendors
47,Saskatchewan,2025,Industrial and Technical Support,ALL,19270580.490000002,65,31
47,Saskatchewan,2026,Core Defence Industrial Complex,ALL,11967.18,1,1
47,Saskatchewan,2026,General Government Support,ALL,908921.22,32,25
47,Saskatchewan,2026,Industrial and Technical Support,ALL,3136008.53,10,10
48,Alberta,2016,Core Defence Industrial Complex,ALL,11698.1,1,1
48,Alberta,2016,General Government Support,ALL,3384293.21,71,43
48,Alberta,2016,Industrial and Technical Support,ALL,3800775.39,95,25
48,Alberta,2017,Core Defence Industrial Complex,ALL,3088392.85,39,18
48,Alberta,2017,General Government Support,ALL,620817779.48,880,281
48,Alberta,2017,Industrial and Technical Support,ALL,137833769.16,708,170
48,Alberta,2018,Core Defence Industrial Complex,ALL,1596924.94,37,26
48,Alberta,2018,General Government Support,ALL,165694456.53,1141,347
48,Alberta,2018,Industrial and Technical Support,ALL,109021842.54,919,204
48,Alberta,2019,Core Defence Industrial Complex,ALL,631589.42,20,19
