"CONAME","lat","long","NAICS6","NAICSD","sales_M","employees","PUBPRV","HDBRCH","STATE","STCITY","year"
"Pinchin Limited",44.260261,-76.585352,541330,"Engineering Services",2.31,10,NA,NA,"ON","Kingston",2017
"RCON Engineers Inc",43.782085,-79.572589,541330,"Engineering Services",0.924,4,NA,NA,"ON","Woodbridge",2017
"Blue Mountain Engineering",48.4688281,-123.4921233,541330,"Engineering Services",0.693,3,NA,NA,"BC","Victoria",2017
"Mac Auley Group Ltd",43.49059,-80.01291,541330,"Engineering Services",0.693,3,NA,NA,"ON","Campbellville",2017
"Structural Integrity Assoc",43.502803,-79.672814,541330,"Engineering Services",0.693,3,NA,NA,"ON","Oakville",2017
"Star Consulting Ltd",49.103604,-103.119287,541330,"Engineering Services",0.231,1,NA,NA,"SK","Estevan",2017
"Sunicom Engineering",43.59755,-79.636454,541330,"Engineering Services",0.924,4,NA,NA,"ON","Mississauga",2017
"Turris Corp",43.650242,-79.66104,541330,"Engineering Services",2.31,10,NA,NA,"ON","Mississauga",2017
"Lee Yung & Assoc Inc",43.658521,-79.603209,541330,"Engineering Services",0.462,2,NA,NA,"ON","Mississauga",2017
"Hargyle Inc",45.370502,-71.960007,541330,"Engineering Services",0.693,3,NA,NA,"QC","Sherbrooke",2017
"MGC Aerospatiale",45.391975,-71.973974,541330,"Engineering Services",1.617,7,NA,NA,"QC","Sherbrooke",2017
"OME Engineering",47.605149,-65.629376,541330,"Engineering Services",2.31,10,NA,NA,"NB","Bathurst",2017
"Corche Technical Svc Inc",43.341256,-80.291216,541330,"Engineering Services",0.693,3,NA,NA,"ON","Cambridge",2017
"Can Technologies Inc",43.3958785,-80.3207734,541330,"Engineering Services",1.617,7,NA,NA,"ON","Cambridge",2017
"Team Associates Ltd",43.455898,-80.338691,541330,"Engineering Services",1.155,5,NA,NA,"ON","Cambridge",2017
"Codetta Product Design Inc",48.4268879,-123.3635327,541330,"Engineering Services",0.462,2,NA,NA,"BC","Victoria",2017
"Hemmera Envirochem Inc",48.425678,-123.36644,541330,"Engineering Services",4.389,19,NA,NA,"BC","Victoria",2017
"C & D Aerospace",45.474008,-73.816255,334511,"Search Detection & Navigation Instruments",222.6,600,NA,NA,"QC","Dollard-Des-Ormeaux",2017
"C & D Aerospace",45.474008,-73.816255,334511,"Search Detection & Navigation Instruments",222.6,600,NA,NA,"QC","Dollard-Des-Ormeaux",2017
"Heda Horizons",45.475326,-73.83885,541330,"Engineering Services",0.693,3,NA,NA,"QC","Dollard-Des-Ormeaux",2017
"Marcomtrend Technologies Inc",45.45054,-73.872029,541330,"Engineering Services",0.231,1,NA,NA,"QC","Kirkland",2017
"MJC Optical Technology",45.441116,-73.851496,333314,"Optical Instrument & Lens Manufacturing",0.286,1,NA,NA,"QC","Beaconsfield",2017
"Technologies Rft Inc",45.345898,-73.693888,541330,"Engineering Services",0.693,3,NA,NA,"QC","Chateauguay",2017
"Rally Engineering Inc",53.5314955,-113.41818,541330,"Engineering Services",1.617,7,NA,NA,"AB","Edmonton",2017
"Razor Engineering Ltd",51.052331,-114.011306,541330,"Engineering Services",1.617,7,NA,NA,"AB","Calgary",2017
"Hidi Rae Consltng Engr Inc",50.954932,-114.071235,541330,"Engineering Services",2.31,10,NA,NA,"AB","Calgary",2017
"Synergy Engineering Ltd",49.229713,-122.817535,541330,"Engineering Services",9.24,40,NA,NA,"BC","Coquitlam",2017
"John Emery Geo Technical Engrg",51.326704,-116.979182,541330,"Engineering Services",0.693,3,NA,NA,"BC","Golden",2017
"New Technologies Inc",45.334799,-75.906004,541330,"Engineering Services",0.924,4,NA,NA,"ON","Kanata",2017
"L & M Engineering Ltd",52.129155,-122.141948,541330,"Engineering Services",0.693,3,NA,NA,"BC","Williams Lake",2017
"Canadian Wind Energy Assn",51.087612,-115.347315,541330,"Engineering Services",0.231,1,NA,NA,"AB","Canmore",2017
"Magate Enterprise Ltd",42.994789,-81.23466,541330,"Engineering Services",0.231,1,NA,NA,"ON","London",2017
"Sprung-Brett RDI",43.47775,-80.537845,541330,"Engineering Services",1.848,8,NA,NA,"ON","Waterloo",2017
"CGS Design Consulting Inc",43.478737,-80.524131,541330,"Engineering Services",1.617,7,NA,NA,"ON","Waterloo",2017
"IEG Consultants Ltd",68.37389,-133.747108,541330,"Engineering Services",0.693,3,NA,NA,"NT","Inuvik",2017
"Cla Experts Conseils Inc",45.749362,-73.434437,541330,"Engineering Services",0.693,3,NA,NA,"QC","Repentigny",2017
"IEM Inspections & Evaluation",45.528871,-73.44968,541330,"Engineering Services",1.617,7,NA,NA,"QC","Longueuil",2017
"Consultants Desmon Inc",45.514494,-73.304822,541330,"Engineering Services",0.693,3,NA,NA,"QC","Saint-Basile-Le-Grand",2017
"Humblet Inc",45.431601,-73.4565186,541330,"Engineering Services",1.617,7,NA,NA,"QC","Brossard",2017
"PGA Experts Inc",45.576657,-73.337665,541330,"Engineering Services",1.155,5,NA,NA,"QC","Sainte-Julie",2017
"Polyforce",45.569806,-73.417034,541330,"Engineering Services",5.775,25,NA,NA,"QC","Boucherville",2017
"Rochon Experts Conseils Inc",45.576657,-73.337665,541330,"Engineering Services",5.775,25,NA,NA,"QC","Sainte-Julie",2017
"Sct Solutions Inc",45.467749,-73.467434,541330,"Engineering Services",1.617,7,NA,NA,"QC","Brossard",2017
"Enerpro Inc",45.560761,-73.466639,541330,"Engineering Services",9.24,40,NA,NA,"QC","Longueuil",2017
"Grantec Engineering Cnsltnts",44.713423,-63.751465,541330,"Engineering Services",1.617,7,NA,NA,"NS","Hammonds Plains",2017
"Ephvac",44.723968,-63.670679,541330,"Engineering Services",1.617,7,NA,NA,"NS","Bedford",2017
"ISL Engineering & Land Svc",53.487995,-113.455498,541330,"Engineering Services",34.65,150,NA,NA,"AB","Edmonton",2017
"Agbisco & Assoc Inc",53.4423702,-113.5674216,541330,"Engineering Services",0.462,2,NA,NA,"AB","Edmonton",2017
"BGC Engineering Inc",53.518818,-113.497569,541330,"Engineering Services",4.62,20,NA,NA,"AB","Edmonton",2017
"BNG Specialized Engineering",53.476703,-113.390152,541330,"Engineering Services",0.693,3,NA,NA,"AB","Edmonton",2017
"Karl Engineering Conslnts Ltd",53.5487452,-113.6385958,541330,"Engineering Services",1.617,7,NA,NA,"AB","Edmonton",2017
"Valley Engineering Ltd",51.098052,-115.362775,541330,"Engineering Services",0.231,1,NA,NA,"AB","Canmore",2017
"Timberlake Jones Engineering",49.317954,-124.303293,541330,"Engineering Services",0.924,4,NA,NA,"BC","Parksville",2017
"SCV Enrivonnement",45.2431,-74.130339,541330,"Engineering Services",1.617,7,NA,NA,"QC","Salaberry-De-Valleyfield",2017
"Vestas Canadian Wind Tech",49.491695,-113.951668,541330,"Engineering Services",3.465,15,NA,NA,"AB","Pincher Creek",2017
"Honeywell Building Svc",53.5480457,-113.5046671,541330,"Engineering Services",1.617,7,NA,NA,"AB","Edmonton",2017
