region_uid,region_name,year,NAICS6,NAICSD,defence_type,total_sales_M,total_sales_M_real,sales_bucket,n_firms,avg_employees,total_jobs,lq_sales,lq_firms,lq_jobs,suppressed
4715018,Aberdeen No. 373,2022,SECONDARY,Secondary,secondary,,,<$5M,<2,,,,,,True
4715018,Aberdeen No. 373,2023,541370,Surveying and Mapping (except Geophysical) Service,secondary,,,<$5M,<2,,,,,,True
4715018,Aberdeen No. 373,2023,ALL,All,all,,,<$5M,<2,,,,,,True
4715018,Aberdeen No. 373,2023,SECONDARY,Secondary,secondary,,,<$5M,<2,,,,,,True
4715018,Aberdeen No. 373,2024,541370,Surveying and Mapping (except Geophysical) Service,secondary,,,<$5M,<2,,,,,,True
4715018,Aberdeen No. 373,2024,ALL,All,all,,,<$5M,<2,,,,,,True
4715018,Aberdeen No. 373,2024,SECONDARY,Secondary,secondary,,,<$5M,<2,,,,,,True
4715018,Aberdeen No. 373,2025,541370,Surveying and Mapping (except Geophysical) Service,secondary,,,<$5M,<2,,,,,,True
4715018,Aberdeen No. 373,2025,ALL,All,all,,,<$5M,<2,,,,,,True
4715018,Aberdeen No. 373,2025,SECONDARY,Secondary,secondary,,,<$5M,<2,,,,,,True
1308024,Acadieville,2022,541330,Engineering Services,secondary,,,<$5M,<2,,,,,,True
1308024,Acadieville,2022,ALL,All,all,,,<$5M,<2,,,,,,True
1308024,Acadieville,2022,SECONDARY,Secondary,secondary,,,<$5M,<2,,,,,,True
1308024,Acadieville,2023,541330,Engineering Services,secondary,,,<$5M,<2,,,,,,True
1308024,Acadieville,2023,ALL,All,all,,,<$5M,<2,,,,,,True
1308024,Acadieville,2023,SECONDARY,Secondary,secondary,,,<$5M,<2,,,,,,True
1308024,Acadieville,2024,541330,Engineering Services,secondary,,,<$5M,<2,,,,,,True
1308024,Acadieville,2024,ALL,All,all,,,<$5M,<2,,,,,,True
1308024,Acadieville,2024,SECONDARY,Secondary,secondary,,,<$5M,<2,,,,,,True
1308024,Acadieville,2025,541330,Engineering Services,secondary,,,<$5M,<2,,,,,,True
1308024,Acadieville,2025,ALL,All,all,,,<$5M,<2,,,,,,True
1308024,Acadieville,2025,SECONDARY,Secondary,secondary,,,<$5M,<2,,,,,,True
2448028,Acton Vale,2017,331110,Iron & Steel Mills & Ferroalloy Manufacturing,secondary,57.725,72.687,>=$5M,2,30.0,60.0,20.377,12.432,24.092,False
2448028,Acton Vale,2017,541330,Engineering Services,secondary,,,<$5M,<2,,,,,,True
2448028,Acton Vale,2017,ALL,All,all,58.649,73.851,>=$5M,3,21.3,64.0,4.396,0.884,1.412,False
2448028,Acton Vale,2017,SECONDARY,Secondary,secondary,58.649,73.851,>=$5M,3,21.3,64.0,4.431,0.888,1.421,False
2448028,Acton Vale,2018,331110,Iron & Steel Mills & Ferroalloy Manufacturing,secondary,57.725,71.053,>=$5M,2,30.0,60.0,16.664,12.438,20.707,False
2448028,Acton Vale,2018,541330,Engineering Services,secondary,,,<$5M,<2,,,,,,True
2448028,Acton Vale,2018,ALL,All,all,58.649,72.19,>=$5M,3,21.3,64.0,4.498,0.876,1.604,False
2448028,Acton Vale,2018,SECONDARY,Secondary,secondary,58.649,72.19,>=$5M,3,21.3,64.0,4.541,0.88,1.617,False
2448028,Acton Vale,2019,331110,Iron & Steel Mills & Ferroalloy Manufacturing,secondary,57.725,69.694,>=$5M,2,30.0,60.0,17.355,12.303,20.164,False
2448028,Acton Vale,2019,541330,Engineering Services,secondary,,,<$5M,<2,,,,,,True
2448028,Acton Vale,2019,ALL,All,all,58.649,70.81,>=$5M,3,21.3,64.0,4.456,0.789,1.461,False
2448028,Acton Vale,2019,SECONDARY,Secondary,secondary,58.649,70.81,>=$5M,3,21.3,64.0,4.498,0.792,1.472,False
2448028,Acton Vale,2020,331110,Iron & Steel Mills & Ferroalloy Manufacturing,secondary,57.725,69.186,>=$5M,2,30.0,60.0,18.198,12.573,21.221,False
2448028,Acton Vale,2020,541330,Engineering Services,secondary,,,<$5M,<2,,,,,,True
2448028,Acton Vale,2020,ALL,All,all,58.649,70.293,>=$5M,3,21.3,64.0,4.163,0.788,1.301,False
2448028,Acton Vale,2020,SECONDARY,Secondary,secondary,58.649,70.293,>=$5M,3,21.3,64.0,4.199,0.791,1.31,False
2448028,Acton Vale,2021,331110,Iron and Steel Mills and Ferroalloy Manufacturing,secondary,57.725,66.938,>=$5M,2,30.0,60.0,18.072,12.578,21.34,False
2448028,Acton Vale,2021,541330,Engineering Services,secondary,,,<$5M,<2,,,,,,True
2448028,Acton Vale,2021,ALL,All,all,58.649,68.01,>=$5M,3,21.3,64.0,4.593,0.782,1.492,False
2448028,Acton Vale,2021,SECONDARY,Secondary,secondary,58.649,68.01,>=$5M,3,21.3,64.0,4.638,0.786,1.504,False
2448028,Acton Vale,2022,331110,Iron and Steel Mills and Ferroalloy Manufacturing,secondary,57.725,62.688,>=$5M,2,30.0,60.0,20.811,12.991,25.132,False
2448028,Acton Vale,2022,541330,Engineering Services,secondary,,,<$5M,<2,,,,,,True
2448028,Acton Vale,2022,ALL,All,all,58.649,63.692,>=$5M,3,21.3,64.0,4.351,0.707,1.417,False
2448028,Acton Vale,2022,SECONDARY,Secondary,secondary,58.649,63.692,>=$5M,3,21.3,64.0,4.393,0.71,1.428,False
2448028,Acton Vale,2023,331110,Iron and Steel Mills and Ferroalloy Manufacturing,secondary,34.419,35.975,>=$5M,2,30.0,60.0,8.944,12.975,17.734,False
2448028,Acton Vale,2023,541330,Engineering Services,secondary,,,<$5M,<2,,,,,,True
2448028,Acton Vale,2023,ALL,All,all,35.199,36.79,>=$5M,3,21.3,64.0,1.742,0.718,1.024,False
2448028,Acton Vale,2023,SECONDARY,Secondary,secondary,35.199,36.79,>=$5M,3,21.3,64.0,1.756,0.722,1.035,False
2448028,Acton Vale,2024,331110,Iron and Steel Mills and Ferroalloy Manufacturing,secondary,34.419,35.125,>=$5M,2,30.0,60.0,10.362,13.962,13.352,False
2448028,Acton Vale,2024,541330,Engineering Services,secondary,,,<$5M,<2,,,,,,True
2448028,Acton Vale,2024,ALL,All,all,35.199,35.921,>=$5M,3,21.3,64.0,1.755,0.728,0.806,False
2448028,Acton Vale,2024,SECONDARY,Secondary,secondary,35.199,35.921,>=$5M,3,21.3,64.0,1.778,0.732,0.816,False
2448028,Acton Vale,2025,331110,Iron and Steel Mills and Ferroalloy Manufacturing,secondary,34.419,34.419,>=$5M,2,30.0,60.0,13.02,14.096,17.024,False
2448028,Acton Vale,2025,541330,Engineering Services,secondary,,,<$5M,<2,,,,,,True
2448028,Acton Vale,2025,ALL,All,all,35.199,35.199,>=$5M,3,21.3,64.0,1.89,0.709,0.853,False
2448028,Acton Vale,2025,SECONDARY,Secondary,secondary,35.199,35.199,>=$5M,3,21.3,64.0,1.91,0.713,0.861,False
3539047,Adelaide-Metcalfe,2022,541330,Engineering Services,secondary,,,<$5M,<2,,,,,,True
3539047,Adelaide-Metcalfe,2022,ALL,All,all,,,<$5M,<2,,,,,,True
3539047,Adelaide-Metcalfe,2022,SECONDARY,Secondary,secondary,,,<$5M,<2,,,,,,True
3539047,Adelaide-Metcalfe,2023,541330,Engineering Services,secondary,,,<$5M,<2,,,,,,True
3539047,Adelaide-Metcalfe,2023,ALL,All,all,,,<$5M,<2,,,,,,True
3539047,Adelaide-Metcalfe,2023,SECONDARY,Secondary,secondary,,,<$5M,<2,,,,,,True
3543003,Adjala-Tosorontio,2017,541330,Engineering Services,secondary,0.924,1.164,<$5M,2,2.0,4.0,0.215,1.414,0.228,False
3543003,Adjala-Tosorontio,2017,ALL,All,all,0.924,1.164,<$5M,2,2.0,4.0,0.123,0.879,0.163,False
