region_uid,region_name,year,NAICS6,NAICSD,defence_type,total_sales_M,sales_bucket,n_firms,avg_employees,total_jobs,lq_sales,lq_firms,lq_jobs,suppressed
406,Baie-Comeau,2017,331110,Iron & Steel Mills & Ferroalloy Manufacturing,secondary,12.529,>=$5M,2,5.5,11.0,1.361,4.405,1.217,False
406,Baie-Comeau,2017,541330,Engineering Services,secondary,9.933,>=$5M,2,21.5,43.0,0.687,0.355,0.626,False
406,Baie-Comeau,2017,541370,Surveying & Mapping (except Geophysical) Services,secondary,10.29,>=$5M,3,23.3,70.0,5.884,2.294,5.368,False
406,Baie-Comeau,2017,ALL,All,all,32.752,>=$5M,7,17.7,124.0,1.041,0.766,1.074,False
406,Baie-Comeau,2017,SECONDARY,Secondary,secondary,32.752,>=$5M,7,17.7,124.0,1.118,0.775,1.124,False
406,Baie-Comeau,2018,331110,Iron & Steel Mills & Ferroalloy Manufacturing,secondary,12.529,>=$5M,2,5.5,11.0,0.397,4.355,0.714,False
406,Baie-Comeau,2018,541330,Engineering Services,secondary,12.936,>=$5M,5,11.2,56.0,0.241,0.85,0.442,False
406,Baie-Comeau,2018,541370,Surveying & Mapping (except Geophysical) Services,secondary,10.29,>=$5M,3,23.3,70.0,1.728,2.287,3.179,False
406,Baie-Comeau,2018,ALL,All,all,35.755,>=$5M,10,13.7,137.0,0.319,1.064,0.665,False
406,Baie-Comeau,2018,SECONDARY,Secondary,secondary,35.755,>=$5M,10,13.7,137.0,0.342,1.077,0.695,False
406,Baie-Comeau,2019,331110,Iron & Steel Mills & Ferroalloy Manufacturing,secondary,12.529,>=$5M,2,5.5,11.0,0.437,4.166,0.748,False
406,Baie-Comeau,2019,541330,Engineering Services,secondary,29.337,>=$5M,8,15.9,127.0,0.47,1.147,0.82,False
406,Baie-Comeau,2019,541370,Surveying & Mapping (except Geophysical) Services,secondary,11.172,>=$5M,4,19.0,76.0,2.045,2.847,3.573,False
406,Baie-Comeau,2019,ALL,All,all,53.038,>=$5M,14,15.3,214.0,0.442,1.287,0.898,False
406,Baie-Comeau,2019,SECONDARY,Secondary,secondary,53.038,>=$5M,14,15.3,214.0,0.483,1.304,0.947,False
406,Baie-Comeau,2020,331110,Iron & Steel Mills & Ferroalloy Manufacturing,secondary,12.529,>=$5M,2,5.5,11.0,0.376,4.245,0.648,False
406,Baie-Comeau,2020,541330,Engineering Services,secondary,27.489,>=$5M,8,14.9,119.0,0.321,1.153,0.563,False
406,Baie-Comeau,2020,541370,Surveying & Mapping (except Geophysical) Services,secondary,11.466,>=$5M,4,19.5,78.0,2.055,2.835,3.614,False
406,Baie-Comeau,2020,ALL,All,all,51.484,>=$5M,14,14.9,208.0,0.348,1.29,0.7,False
406,Baie-Comeau,2020,SECONDARY,Secondary,secondary,51.484,>=$5M,14,14.9,208.0,0.373,1.308,0.729,False
406,Baie-Comeau,2021,331110,Iron and Steel Mills and Ferroalloy Manufacturing,secondary,12.529,>=$5M,2,5.5,11.0,0.398,4.36,0.664,False
406,Baie-Comeau,2021,541330,Engineering Services,secondary,27.489,>=$5M,8,14.9,119.0,0.474,1.178,0.797,False
406,Baie-Comeau,2021,541370,Surveying and Mapping (except Geophysical) Service,secondary,11.466,>=$5M,4,19.5,78.0,1.996,2.852,3.399,False
406,Baie-Comeau,2021,ALL,All,all,51.484,>=$5M,14,14.9,208.0,0.43,1.308,0.869,False
406,Baie-Comeau,2021,SECONDARY,Secondary,secondary,51.484,>=$5M,14,14.9,208.0,0.471,1.327,0.917,False
406,Baie-Comeau,2022,331110,Iron and Steel Mills and Ferroalloy Manufacturing,secondary,12.529,>=$5M,2,5.5,11.0,0.511,4.564,0.839,False
406,Baie-Comeau,2022,333310,Commercial and Service Industry Machinery Manufact,primary,2.243,<$5M,2,3.0,6.0,0.289,2.851,0.402,False
406,Baie-Comeau,2022,541330,Engineering Services,secondary,27.489,>=$5M,8,14.9,119.0,0.465,1.106,0.8,False
406,Baie-Comeau,2022,541370,Surveying and Mapping (except Geophysical) Service,secondary,11.466,>=$5M,4,19.5,78.0,2.029,2.947,3.428,False
406,Baie-Comeau,2022,ALL,All,all,53.727,>=$5M,16,13.4,214.0,0.442,1.351,0.847,False
406,Baie-Comeau,2022,PRIMARY,Primary,primary,2.243,<$5M,2,3.0,6.0,0.136,2.375,0.225,False
406,Baie-Comeau,2022,SECONDARY,Secondary,secondary,51.484,>=$5M,14,14.9,208.0,0.489,1.273,0.921,False
406,Baie-Comeau,2023,331110,Iron and Steel Mills and Ferroalloy Manufacturing,secondary,12.529,>=$5M,2,5.5,11.0,0.955,5.134,0.885,False
406,Baie-Comeau,2023,333310,Commercial and Service Industry Machinery Manufact,primary,2.243,<$5M,2,3.0,6.0,0.526,3.102,0.401,False
406,Baie-Comeau,2023,541330,Engineering Services,secondary,17.556,>=$5M,6,12.7,76.0,0.578,0.951,0.599,False
406,Baie-Comeau,2023,541370,Surveying and Mapping (except Geophysical) Service,secondary,10.787,>=$5M,4,19.5,78.0,3.487,3.26,3.604,False
406,Baie-Comeau,2023,ALL,All,all,43.115,>=$5M,14,12.2,171.0,0.671,1.334,0.758,False
406,Baie-Comeau,2023,PRIMARY,Primary,primary,2.243,<$5M,2,3.0,6.0,0.27,2.586,0.244,False
406,Baie-Comeau,2023,SECONDARY,Secondary,secondary,40.872,>=$5M,12,13.8,165.0,0.73,1.235,0.821,False
